"","RCDTS","SchoolName","District","City","County","White_percent","SATtotal","Chicago","SchoolName2"
"1","050162020170001","Evanston Twp High School","Evanston Twp HSD 202","Evanston","Cook",45.7,1080.8,0,"Evanston Twp High School"
"2","050162030170001","New Trier Township H S Winnetka","New Trier Twp HSD 203","Winnetka","Cook",79.9,1239.5,0,"New Trier Township H S Winnetka"
"3","050162030170002","New Trier Township H S Northfield","New Trier Twp HSD 203","Northfield","Cook",78.9,NA,0,"New Trier Township H S Northfield"
"4","050162070170001","Maine East High School","Maine Township HSD 207","Park Ridge","Cook",38.3,988.5,0,"Maine East High School"
"5","050162070170003","Maine South High School","Maine Township HSD 207","Park Ridge","Cook",85.5,1137.4,0,"Maine South High School"
"6","050162070170004","Maine West High School","Maine Township HSD 207","Des Plaines","Cook",43.3,996.2,0,"Maine West High School"
"7","050162110170001","J B Conant High School","Township HSD 211","Hoffman Estates","Cook",46.9,1098.8,0,"J B Conant High School"
"8","050162110170002","Wm Fremd High School","Township HSD 211","Palatine","Cook",54.1,1170.1,0,"Wm Fremd High School"
"9","050162110170003","Palatine High School","Township HSD 211","Palatine","Cook",38.3,1010.1,0,"Palatine High School"
"10","050162110170004","Schaumburg High School","Township HSD 211","Schaumburg","Cook",48.5,1061.5,0,"Schaumburg High School"
"11","050162110170006","Hoffman Estates High School","Township HSD 211","Hoffman Estates","Cook",31.3,1033.2,0,"Hoffman Estates High School"
"12","050162140170002","Elk Grove High School","Township HSD 214","Elk Grove Village","Cook",40.9,1008.2,0,"Elk Grove High School"
"13","050162140170004","John Hersey High School","Township HSD 214","Arlington Heights","Cook",70.9,1156.8,0,"John Hersey High School"
"14","050162140170005","Prospect High School","Township HSD 214","Mt Prospect","Cook",74.8,1158.2,0,"Prospect High School"
"15","050162140170006","Wheeling High School","Township HSD 214","Wheeling","Cook",26.7,978.8,0,"Wheeling High School"
"16","050162140170007","Rolling Meadows High School","Township HSD 214","Rolling Meadows","Cook",50.5,1039.6,0,"Rolling Meadows High School"
"17","050162140170008","Buffalo Grove High School","Township HSD 214","Buffalo Grove","Cook",57.8,1094.7,0,"Buffalo Grove High School"
"18","050162190170002","Niles North High School","Niles Twp HSD 219","Skokie","Cook",38,1059.3,0,"Niles North High School"
"19","050162190170003","Niles West High School","Niles Twp HSD 219","Skokie","Cook",43.3,1068.7,0,"Niles West High School"
"20","050162250170001","Glenbrook North High School","Northfield Twp HSD 225","Northbrook","Cook",56,1185.3,0,"Glenbrook North High School"
"21","050162250170002","Glenbrook South High School","Northfield Twp HSD 225","Glenview","Cook",47.7,1153.1,0,"Glenbrook South High School"
"22","060162000130001","Oak Park & River Forest High Sch","Oak Park - River Forest SD 200","Oak Park","Cook",55.6,1136.2,0,"Oak Park & River Forest High Sch"
"23","060162010170001","J Sterling Morton East High Sch","J S Morton HSD 201","Cicero","Cook",1.2,864.2,0,"J Sterling Morton East High Sch"
"24","060162010170002","J Sterling Morton West High Sch","J S Morton HSD 201","Berwyn","Cook",8.5,888.4,0,"J Sterling Morton West High Sch"
"25","060162010170003","J Sterling Morton Freshman Cntr","J S Morton HSD 201","Cicero","Cook",3.1,NA,0,"J Sterling Morton Freshman Cntr"
"26","060162040170001","Lyons Twp High Sch","Lyons Twp HSD 204","La Grange","Cook",72,1131.4,0,"Lyons Twp High Sch"
"27","060162080170001","Riverside Brookfield Twp HS","Riverside-Brookfield Twp SD 208","Riverside","Cook",53,1082.6,0,"Riverside Brookfield Twp HS"
"28","060162090170001","Proviso East High School","Proviso Twp HSD 209","Maywood","Cook",1.4,826,0,"Proviso East High School"
"29","060162090170002","Proviso West High School","Proviso Twp HSD 209","Hillside","Cook",1.8,830.5,0,"Proviso West High School"
"30","060162090170003","Proviso Math and Science Academy","Proviso Twp HSD 209","Forest Park","Cook",5.2,1153.7,0,"Proviso Math and Science Academy"
